Contestant ID,Contestant Name,Gender,Notes,Offscreen Earnings,Offscreen Games Won
1,Stanley Viltz,F,,,
2,Joan Roselle,F,,,
3,Edie Clark,F,,,
4,Trevor Cumming,M,,,
5,Kay Pingston,F,,,
6,Fil Gilman,F,,,
7,Gary Walls,F,,,
8,Sherry Calabria,F,,,
9,Sarah O'Reilly,F,,,
10,Amy Siskin,F,,,
11,Gray Farley,M,,,
12,Mary Vanderdusen,F,,,
13,Gita Satyendra,F,,,
14,Nelson Kaesberg,M,,,
15,Helene Harrington,F,,,
16,Joan Curtis,F,,,
17,Sylvia Martin,F,,,
18,Beverly Ballard,F,,,
19,Dinah Hewlett,F,,,
20,Roger Kissell,M,,,
21,Fern Zaylen,F,,,
22,Michelle Baylen,F,,,
23,Cheryl Christianson,F,,,
24,Jeff Nichols,M,,,
25,Toni Sams,F,,,
26,Joan DeYoung,F,,,
27,Dottie Bird,F,,,
28,Debbie Holmer,F,,,
29,Helena Littlefield,F,,,
30,Donna Wiser,F,,,
31,Helen Molnar,F,,,
32,Patty Pechet,F,,,
33,LaVon Ogren,F,,,
34,Margie Kolfschoten,F,,,
35,Bill Lolly,M,,,
36,Sarah Dunning,F,,,
37,Jackie Johnson,F,,,
38,Elizabeth Woothridge,F,,,
39,Faith Bitterolf,F,,,
40,Chris Jones,F,,,
41,Sue Yannick,F,,,
42,Bob Rebbon,M,,,
43,Jean Gillis,F,,,
44,Marilyn Countryman,F,,,
45,Judy Bandless,F,,,
46,Bob Rolfe,M,,,
47,Jennifer Summerset,F,,,
48,Kathy Dean,F,,,
49,Sheila Fuller,F,,,
50,Marcia Passant,F,,,
51,Patty Pachette,F,,,
52,Nancy Sudor,F,,,
53,Georgianna Dye,F,,,
54,Tom Garnella,M,,,
55,Elaine Venner,F,,,
56,Judy Gleason,F,,,
57,Linda Olson,F,,,
58,Roseanne Colvey,F,,,
59,Holly Jarecki,F,,,
60,Grady Ham,M,,,
61,Heather Browning,F,,,
62,Jill Volentine,F,,,
63,Deborah Nicestrom,F,,,
64,Michelle Alexander,F,,,
65,Shirley Gunnerson,F,,,
66,Dawn Blankney,F,,,
